,date,shcode,doYD,dhYD,dlYD,dcYD,ihYD,ilYD,volYD,mdvYD,msvYD,mdcYD,mscYD,closeYD,doTD,dhTDbf,dlTDbf,ihTDbf,ilTDbf,volTDbf,mdvTDbf,msvTDbf,mdcTDbf,mscTDbf,gcut,lcut,iBID,iASK,tBID,tASK,prcBID,prcASK,profit,hname
814,2025-06-24,103140,0.144,0.217,0.058,0.075,3,205,2166622,1189748,913833,41077,38557,136000,-0.083,-0.079,-0.158,1,22,568470,336858,231612,9109,6985,0.094,0.066,59,699,100030,153000,121200,125200,0.033,풍산
813,2025-06-24,096350,-0.041,0.207,-0.077,0.136,296,0,45314987,21233288,23052464,19184,25476,533,0.032,0.032,-0.041,0,39,3207493,2030091,1177402,997,787,0.076,0.053,619,699,144030,153000,536,538,0.00373,대창솔루션
812,2025-06-24,087010,-0.015,-0.013,-0.063,-0.044,2,113,373209,235722,134692,11101,10248,190700,0.054,0.148,0.051,12,0,248157,95714,149365,4160,5479,0.092,0.065,4,699,93300,153000,212000,205000,-0.03302,펩트론
811,2025-06-24,032350,-0.04,-0.019,-0.063,-0.028,27,209,1304269,741854,544229,9432,10911,16600,0.004,0.004,-0.072,0,29,461413,245886,215527,2155,1915,0.082,0.057,11,699,93630,153000,16180,16450,0.01669,롯데관광개발
810,2025-06-24,069920,0.006,0.006,-0.106,-0.093,0,742,422544,221280,194209,763,791,1613,0.019,0.044,-0.039,0,22,42384,25871,14589,169,105,0.086,0.061,226,542,112400,140200,1633,1775,0.08696,엑시온그룹
809,2025-06-24,066900,0.064,0.064,0.004,0.013,0,759,13469,7506,5654,78,104,2375,0.061,0.076,0.002,0,10,5206,2723,2483,48,63,0.074,0.051,213,699,111730,153000,2490,2520,0.01205,디에이피
808,2025-06-24,011700,-0.025,0.028,-0.038,-0.03,158,586,2866113,1732106,1008085,6168,6732,4485,0.02,0.021,-0.051,0,31,616538,359476,257062,982,883,0.076,0.053,23,699,94230,153000,4455,4350,-0.02357,한신기계
807,2025-06-24,009810,-0.009,-0.009,-0.045,-0.037,0,51,717325,462306,213541,202,246,340,0.003,0.162,0.003,24,0,972405,458063,368860,641,539,0.1,0.07,17,699,93930,153000,375,370,-0.01333,플레이그램
806,2025-06-24,044490,-0.019,0.158,-0.041,0.049,375,3,1455930,735853,694562,11330,12411,33250,0.039,0.056,-0.029,4,31,174880,105712,69168,1112,1147,0.087,0.061,21,699,94130,153000,34050,35200,0.03377,태웅
805,2025-06-24,042040,0.0,0.004,-0.022,-0.015,305,25,165524,94932,64643,106,171,270,0.263,0.3,0.152,13,0,12170599,6710838,5096188,3811,4130,0.037,0.05,1,5,93130,93330,336,349,0.03869,케이피엠테크
804,2025-06-24,005810,0.077,0.208,0.064,0.149,145,26,1319755,576263,703088,11385,14413,51200,-0.088,-0.086,-0.149,0,42,177035,121000,56035,1879,1250,0.075,0.052,418,699,130000,153000,45550,46400,0.01866,풍산홀딩스
803,2025-06-24,033340,-0.034,-0.007,-0.098,-0.061,698,540,4957757,2757823,1944683,4227,3742,1312,0.09,0.215,0.089,13,0,12364806,5675412,6506941,9954,10614,0.1,0.07,1,699,93130,153000,1531,1459,-0.04703,좋은사람들
802,2025-06-24,026040,-0.024,0.016,-0.084,-0.013,272,8,359579,194066,154485,848,1000,3040,0.066,0.13,0.053,13,44,532452,229362,303090,1046,1182,0.073,0.051,1,699,93130,153000,3345,3300,-0.01345,제이에스티나
801,2025-06-24,003280,0.157,0.157,0.098,0.155,0,180,11154415,16326,32915,39,73,2230,-0.17,-0.157,-0.206,1,31,8132374,5123552,3008822,5756,5513,0.061,0.05,79,699,101030,153000,1839,1783,-0.03045,흥아해운
800,2025-06-24,002020,-0.028,0.02,-0.028,0.009,69,0,306863,161621,141779,4542,3287,39800,0.031,0.09,0.021,3,31,166413,81649,84764,1702,1838,0.068,0.05,45,699,95330,153000,42350,43300,0.02243,코오롱
799,2025-06-24,000157,-0.03,0.068,-0.03,0.021,105,0,14201,6217,7617,1183,1420,477000,0.009,0.011,-0.048,0,46,2244,1333,911,239,195,0.063,0.05,549,699,140530,153000,472000,485500,0.0286,두산2우B
798,2025-06-23,464580,0.066,0.3,0.063,0.3,98,0,4197772,2433739,1657727,7648,7209,3815,-0.026,0.063,-0.035,14,22,786301,400941,385360,2085,2041,0.1,0.07,20,699,94100,153000,3910,3705,-0.05243,닷밀
797,2025-06-23,460870,0.021,0.051,-0.024,0.009,63,72,1741694,934295,785983,5327,4886,6870,-0.022,0.045,-0.025,24,0,245682,99805,145877,574,659,0.072,0.05,1,85,93130,101330,7000,7510,0.07286,에스엠씨지
796,2025-06-23,457550,0.061,0.086,-0.015,0.013,2,53,3935563,2230976,1617578,27883,23787,30000,0.047,0.077,0.015,3,41,791549,423815,367734,6388,6517,0.061,0.05,12,84,93700,101300,31600,33550,0.06171,우진엔텍
795,2025-06-23,417860,-0.011,0.095,-0.036,0.024,37,62,425695,227709,180078,3942,3994,28050,-0.02,-0.002,-0.066,8,49,37295,27660,9635,345,228,0.069,0.05,94,699,101800,153000,27350,27600,0.00914,오브젠
794,2025-06-23,377300,0.011,0.299,-0.021,0.299,747,66,6730674,2592185,3908511,51100,75659,79600,0.024,0.187,0.024,16,0,3065664,1557935,1430522,32933,37008,0.1,0.07,14,122,93800,103200,89500,98600,0.10168,카카오페이
793,2025-06-23,290660,0.009,0.027,-0.055,0.02,744,38,830406,432995,346126,1009,1098,1147,0.043,0.295,0.037,25,1,3538175,1778945,1619183,4655,5101,0.081,0.057,19,699,94030,153000,1369,1400,0.02264,네오펙트
792,2025-06-23,33626L,0.083,0.3,0.077,0.3,8,0,314620,180467,122982,2244,1831,11100,-0.056,0.07,-0.06,14,0,198628,95285,103343,2897,3956,0.1,0.07,245,251,113330,113630,11320,12460,0.10071,두산퓨얼셀2우B
791,2025-06-23,234340,-0.038,-0.019,-0.076,-0.021,759,36,841053,462429,354329,17070,6468,25750,0.043,0.076,0.01,14,38,546502,303526,242976,3008,3129,0.065,0.05,125,333,103330,121730,27050,25650,-0.05176,헥토파이낸셜
790,2025-06-23,232830,-0.006,0.021,-0.061,-0.043,15,608,545778,310537,227433,1110,1061,3370,-0.028,-0.028,-0.095,0,10,218188,141984,76204,425,265,0.074,0.052,23,699,94230,153000,3190,3305,0.03605,아이티센피엔에스
789,2025-06-23,207760,-0.001,0.014,-0.047,-0.015,217,53,4611014,2407627,2001688,6722,6133,1840,-0.02,0.066,-0.02,27,0,2611940,1349143,1262797,3731,3706,0.088,0.062,558,699,141000,153000,1901,1843,-0.03051,미스터블루
788,2025-06-23,193250,0.0,0.057,0.0,0.042,24,0,447231,179589,261701,376,520,552,-0.029,0.139,-0.036,44,15,1744317,789750,791132,952,1024,0.1,0.07,10,699,93600,153000,592,609,0.02872,링크드
787,2025-06-23,131100,0.0,0.046,-0.02,0.018,9,712,73355,39451,31139,313,416,1562,0.12,0.3,0.08,9,0,3064719,1546090,1375067,6243,7624,0.063,0.05,2,12,93200,93700,1896,1801,-0.05011,티엔엔터테인먼트
786,2025-06-23,124500,-0.01,0.023,-0.083,-0.037,7,585,1356722,751913,562364,6369,6411,28900,-0.009,-0.007,-0.087,8,2,292671,195641,97030,1454,1348,0.087,0.061,12,196,93700,110900,27850,30300,0.08797,아이티센글로벌
785,2025-06-23,096350,0.17,0.298,0.085,0.109,11,22,55476163,30157244,19916584,28317,32144,469,0.021,0.047,-0.013,10,18,3121355,1586156,1535199,800,999,0.06,0.05,17,96,93930,101900,481,511,0.06237,대창솔루션
784,2025-06-23,035510,-0.045,-0.011,-0.091,-0.016,735,35,2520392,1225373,1210416,9150,10320,21650,0.039,0.079,0.012,3,42,1030633,524569,506064,4418,4016,0.066,0.05,36,59,94900,100030,22800,24350,0.06798,신세계 I&C
783,2025-06-23,019175,-0.033,0.184,-0.113,-0.067,69,757,1001232,514263,395572,15477,15653,43350,-0.065,0.063,-0.073,14,0,71709,35546,33131,2292,2180,0.1,0.07,136,215,103900,111830,43800,40700,-0.07078,신풍제약우
782,2025-06-23,064260,0.002,0.046,-0.036,0.012,699,53,6125180,3018089,2809187,8920,11067,6140,0.002,0.028,-0.033,8,43,1796206,1088015,708191,2557,2720,0.062,0.05,76,699,100900,153000,6180,6170,-0.00162,다날
781,2025-06-23,051160,0.002,0.09,-0.005,0.058,271,2,333072,147597,179888,2005,2099,11930,-0.065,-0.044,-0.104,1,31,93799,50051,43748,706,451,0.066,0.05,331,699,121630,153000,11140,11200,0.00539,지어소프트
780,2025-06-23,049480,0.006,0.164,-0.016,0.158,745,47,8701675,4055677,4059961,10723,12329,2935,0.077,0.186,0.06,23,3,7199320,3524922,3615927,11214,11850,0.1,0.07,3,699,93230,153000,3340,3205,-0.04042,오픈베이스
779,2025-06-23,049470,-0.014,-0.014,-0.05,-0.039,0,2,160465,96090,54177,190,272,420,0.012,0.069,0.005,10,42,60949,28089,32860,84,98,0.064,0.05,277,589,114930,142530,440,469,0.06591,SGA
778,2025-06-23,046120,0.079,0.182,0.042,0.112,223,42,34762520,17801007,16047578,60471,64710,4375,0.079,0.136,0.058,6,45,5513063,2961888,2361438,11509,10807,0.073,0.051,10,75,93600,100830,4840,5210,0.07645,오르비텍
777,2025-06-23,007160,0.005,0.016,-0.037,-0.026,12,505,44388,26518,17339,994,1263,60200,-0.032,0.03,-0.033,23,3,5901,2129,3772,109,117,0.065,0.05,312,699,120700,153000,60600,60200,-0.0066,사조산업
776,2025-06-23,001465,0.013,0.034,-0.114,-0.097,4,441,36537,28488,6818,451,341,21400,-0.037,-0.005,-0.063,2,23,9620,4424,5196,105,95,0.062,0.05,428,699,130500,153000,20850,21900,0.05036,BYC우
775,2025-06-20,481070,-0.014,0.002,-0.045,-0.002,734,403,109679,63465,44316,1106,1346,24200,0.021,0.031,-0.037,4,40,19932,13217,6715,249,190,0.071,0.05,31,699,94630,153000,24350,23300,-0.04312,에이유브랜즈
774,2025-06-20,457550,-0.009,0.298,-0.035,0.298,712,40,4800831,2034421,2725391,26897,34205,29600,0.059,0.066,-0.015,0,43,1193074,774832,418242,9596,6593,0.082,0.058,20,699,94100,153000,30650,30000,-0.02121,우진엔텍
773,2025-06-20,448710,0.002,0.068,0.002,0.046,266,0,210215,96462,107932,2491,2433,21500,0.035,0.044,-0.023,0,46,55689,33622,22067,412,564,0.069,0.05,6,47,93400,95430,21900,23450,0.07078,코츠테크놀로지
772,2025-06-20,417860,-0.0,0.009,-0.081,-0.054,1,277,433256,254994,154735,4217,4418,27400,-0.022,0.095,-0.031,27,50,188405,93085,86070,1464,1673,0.1,0.07,358,699,123000,153000,28650,28050,-0.02094,오브젠
771,2025-06-20,355150,0.03,0.099,-0.018,-0.006,75,636,294285,147411,133913,1754,1830,11750,-0.024,0.053,-0.046,13,46,50955,37372,13583,416,177,0.1,0.07,85,699,101330,153000,11930,11650,-0.02347,코스텍시스
770,2025-06-20,347860,0.001,0.039,-0.019,-0.007,5,41,5621224,3177772,2308398,10477,10213,3390,-0.037,0.029,-0.062,29,48,1104704,554846,549858,1684,1601,0.097,0.068,49,699,95530,153000,3370,3420,0.01484,알체라
769,2025-06-20,294570,0.018,0.018,-0.042,-0.015,0,69,214063,120367,65623,2206,2181,32500,-0.071,-0.071,-0.138,0,35,129301,90829,38472,1200,1039,0.079,0.055,275,699,114830,153000,29350,29300,-0.0017,쿠콘
768,2025-06-20,290670,0.008,0.008,-0.035,-0.028,0,403,87634,60357,24097,1207,1182,18730,0.046,0.119,0.046,41,25,352902,150753,202149,2574,2854,0.069,0.05,24,193,94300,110730,20450,19430,-0.04988,대보마그네틱
767,2025-06-20,290660,0.08,0.111,-0.049,-0.046,0,745,7589125,4221944,2858469,16216,17762,1125,0.001,0.004,-0.055,0,28,258901,163044,95857,343,200,0.062,0.05,3,699,93230,153000,1105,1147,0.03801,네오펙트
766,2025-06-20,267980,-0.003,0.009,-0.003,0.003,124,0,4323,1876,2406,159,269,38300,-0.004,0.042,-0.034,17,18,3155,1663,1492,68,76,0.078,0.055,301,699,120130,153000,38800,38200,-0.01546,매일유업
765,2025-06-20,336260,0.027,0.052,0.012,0.038,207,33,795003,341287,443229,5236,7086,19400,0.152,0.268,0.137,20,0,4791971,2283121,2488213,25552,30575,0.058,0.05,137,699,103930,153000,23650,23450,-0.00846,두산퓨얼셀
764,2025-06-20,256940,-0.022,0.005,-0.054,-0.024,23,2,437003,257170,158646,2800,2251,20100,0.005,0.037,-0.025,9,31,87142,55219,31923,648,539,0.064,0.05,108,513,102500,134730,20400,19380,-0.05,킵스파마
763,2025-06-20,234920,0.004,0.005,-0.029,-0.028,1,714,101338,63908,36260,462,500,4170,0.019,0.151,0.017,14,0,341412,178162,148484,1466,1311,0.1,0.07,0,127,93100,103430,4585,4260,-0.07088,자이글
762,2025-06-20,232830,0.008,0.034,-0.067,-0.054,25,56,1021899,609137,374747,2238,2101,3520,0.004,0.021,-0.05,5,41,148630,71280,77350,262,201,0.075,0.052,47,522,95430,135200,3500,3315,-0.05286,아이티센피엔에스
761,2025-06-20,201490,0.038,0.299,0.012,0.259,372,10,24446247,13154615,10544177,37903,39266,5100,0.006,0.024,-0.068,6,44,1445236,900914,544322,2869,2434,0.098,0.068,50,81,95600,101130,5050,5550,0.09901,미투온
760,2025-06-20,192410,0.0,0.045,-0.026,0.006,12,32,202347,127152,74391,611,337,1292,0.089,0.189,0.084,7,33,1614250,830217,736790,3132,3744,0.097,0.068,35,85,94830,101330,1484,1383,-0.06806,오늘이엔엠
759,2025-06-20,179530,-0.016,0.033,-0.105,-0.105,3,760,473165,274626,136586,972,607,3640,-0.033,-0.021,-0.135,1,37,359813,257476,102337,580,479,0.1,0.07,424,699,130300,153000,3405,3280,-0.03671,애드바이오텍
758,2025-06-20,105330,0.001,0.05,-0.0,0.022,4,24,23990,12143,11324,105,239,4170,0.061,0.283,0.056,22,0,894566,435665,401806,4798,5322,0.08,0.056,26,429,94400,130530,4980,4695,-0.05723,케이엔더블유
757,2025-06-20,096350,0.01,0.094,-0.012,0.047,705,396,5964567,2277090,2891592,1485,2171,423,0.286,0.298,0.085,1,12,19860564,11143720,4991745,4440,5668,0.06,0.05,14,71,93800,100630,515,489,-0.05049,대창솔루션
756,2025-06-20,095190,-0.002,0.049,-0.019,0.049,751,69,785921,371733,364685,899,1311,2460,0.028,0.067,-0.035,25,40,815821,463678,352143,1063,1059,0.1,0.07,32,699,94700,153000,2530,2440,-0.03557,이엠코리아
755,2025-06-20,088340,0.03,0.032,-0.046,-0.014,0,182,404054,227165,114727,2971,2290,24550,-0.071,-0.061,-0.131,4,40,150533,107936,42597,1339,728,0.081,0.057,441,699,131130,153000,22400,21200,-0.05357,유라클
754,2025-06-20,052690,-0.007,0.086,-0.007,0.086,719,1,746928,0,0,0,0,114000,-0.005,0.004,-0.058,5,29,697675,396072,301603,9224,7353,0.066,0.05,11,699,93630,153000,111900,111300,-0.00536,한전기술
753,2025-06-20,072470,0.014,0.014,-0.017,-0.008,0,420,142562,0,9,0,2,3580,0.038,0.077,-0.035,25,48,454173,275549,178624,1910,2050,0.1,0.07,57,145,95930,104330,3700,4075,0.10135,우리산업홀딩스
752,2025-06-20,057680,0.037,0.063,0.002,0.026,120,360,747846,1639,0,3,0,1252,-0.014,0.129,-0.015,18,0,1569239,670752,847267,1860,1847,0.1,0.07,4,61,93300,100130,1344,1480,0.10119,티사이언티픽
751,2025-06-20,011700,0.006,0.2,-0.014,0.139,427,35,30251362,15522189,14238772,50062,55589,4965,-0.024,-0.013,-0.077,0,43,1432374,859478,572896,2318,1756,0.069,0.05,27,699,94430,153000,4780,4625,-0.03243,한신기계
750,2025-06-20,053300,0.032,0.152,0.013,0.071,137,13,24538223,12162068,12017635,52529,60374,9020,0.019,0.023,-0.061,0,34,1694985,1069425,625560,3577,2742,0.09,0.063,624,699,144300,153000,8940,9250,0.03468,한국정보인증
749,2025-06-20,046120,0.008,0.299,0.008,0.299,681,0,15466013,6791919,8500145,21880,29630,3935,0.14,0.149,0.042,0,32,6856039,4041504,2814535,12172,10856,0.1,0.07,9,699,93530,153000,4360,4375,0.00344,오르비텍
748,2025-06-20,044490,-0.0,0.112,-0.039,0.098,748,19,1327514,560681,732131,9645,11691,32400,-0.02,-0.012,-0.088,5,29,185616,129536,56080,1356,962,0.083,0.058,3,699,93230,153000,31100,31700,0.01929,태웅
747,2025-06-20,041460,0.011,0.255,0.005,0.171,555,0,21301793,10891094,9975043,47316,52097,4905,-0.023,0.0,-0.068,1,46,692175,491679,200496,1700,1003,0.073,0.051,602,699,143200,153000,4780,4900,0.0251,한국전자인증
746,2025-06-20,039290,-0.001,0.064,-0.012,0.012,62,42,223615,125899,90088,1185,1541,6940,0.022,0.029,-0.033,11,25,25977,14679,11298,134,140,0.064,0.05,8,699,93500,153000,6980,7050,0.01003,인포뱅크
745,2025-06-20,019990,0.004,0.123,-0.012,0.072,720,30,3922793,1866937,1882432,12310,14323,9070,-0.045,-0.042,-0.1,0,42,324078,252456,71622,1166,798,0.065,0.05,27,699,94430,153000,8500,8280,-0.02588,에너토크
744,2025-06-20,018000,0.001,0.04,-0.023,0.012,15,405,5702508,2996881,2468820,5250,5832,1793,-0.146,-0.144,-0.23,0,34,5213505,3335522,1877983,5900,3970,0.1,0.07,227,699,112430,153000,1475,1418,-0.03864,유니슨
743,2025-06-19,389030,0.0,0.189,-0.02,0.189,760,0,1429827,598279,691305,1967,2188,2700,0.056,0.087,-0.002,4,50,542884,291919,219426,854,775,0.089,0.062,36,699,94900,153000,2845,2810,-0.0123,지니너스
742,2025-06-19,377030,0.0,0.159,-0.024,0.159,760,1,2473584,1169608,1169804,5521,6643,6200,0.032,0.032,-0.048,0,6,371533,262335,109198,1073,742,0.085,0.059,44,558,95300,141000,6220,5850,-0.05949,비트맥스
741,2025-06-19,45014K,0.214,0.282,0.035,0.035,7,760,2656888,1413723,1110401,21284,24511,5610,-0.054,-0.039,-0.118,16,34,118922,81806,37116,469,383,0.089,0.062,3,563,93230,141230,5230,5710,0.09178,코오롱모빌리티그룹우
740,2025-06-19,340810,0.014,0.252,-0.041,0.215,626,4,10654322,5322898,5085992,26629,32306,6110,-0.041,0.133,-0.049,25,1,2960871,1504414,1401817,7843,8368,0.1,0.07,338,516,122000,134900,6490,6040,-0.06934,시선AI
739,2025-06-19,319400,-0.01,0.061,-0.012,0.05,412,3,1601727,551513,1018758,1956,4202,4380,0.04,0.111,0.038,25,1,2412407,1042704,1369703,3544,5767,0.07,0.05,27,699,94430,153000,4745,4825,0.01686,현대무벡스
738,2025-06-19,377300,-0.005,0.052,-0.024,0.05,162,9,1856781,884647,940419,18205,18946,60800,0.082,0.089,0.011,0,25,743052,470292,272760,9709,6846,0.076,0.053,6,285,93400,115330,64500,61000,-0.05426,카카오페이
737,2025-06-19,281740,-0.009,0.017,-0.013,-0.004,4,390,248847,145760,97858,1783,1775,11890,-0.003,0.002,-0.062,8,16,128187,102426,24193,761,516,0.068,0.05,28,699,94500,153000,11630,11570,-0.00516,레이크머티리얼즈
736,2025-06-19,235980,0.0,0.008,-0.024,0.005,49,424,76112,43508,32392,386,304,3730,0.063,0.126,0.036,9,21,221553,111814,109739,819,922,0.087,0.061,142,699,104200,153000,4075,3900,-0.04294,메드팩토
735,2025-06-19,201490,0.073,0.129,-0.075,0.024,22,84,15257733,8487634,6170928,25753,28305,4050,0.015,0.142,0.012,39,0,2732182,1146733,1465710,4203,5278,0.1,0.07,1,273,93130,114730,4420,4865,0.10068,미투온
734,2025-06-19,192410,-0.01,0.045,-0.079,0.041,734,11,290354,130949,151883,705,949,1284,0.026,0.045,-0.026,2,22,88658,69246,19412,115,68,0.073,0.051,27,699,94430,153000,1308,1292,-0.01223,오늘이엔엠
733,2025-06-19,184230,0.01,0.01,-0.065,-0.044,0,458,1300200,814941,461631,795,906,586,0.015,0.077,0.014,11,0,437315,233206,204109,339,293,0.062,0.05,277,699,114930,153000,618,615,-0.00485,SGA솔루션즈
732,2025-06-19,124500,-0.004,0.092,-0.037,0.051,25,3,1201509,593385,581460,6696,7259,28700,0.064,0.132,0.042,13,19,447885,202804,245081,2666,3056,0.087,0.061,52,157,95700,104930,31500,29550,-0.0619,아이티센글로벌
731,2025-06-19,083660,0.03,0.3,0.015,0.243,429,0,11475650,5279421,5678546,16286,18927,1786,-0.004,0.064,-0.036,2,50,2189945,1204748,985197,2315,2531,0.1,0.07,18,144,94000,104300,1832,1704,-0.06987,CSA 코스믹
730,2025-06-19,000440,0.096,0.113,-0.005,0.044,1,84,487060,282060,192973,4567,3946,21250,-0.019,0.094,-0.019,24,0,369631,177180,190686,2469,2604,0.1,0.07,69,524,100530,135300,22350,24600,0.10067,중앙에너비스
729,2025-06-18,462860,0.021,0.085,-0.037,0.03,38,13,29013054,14999012,13454519,63439,66280,4320,0.037,0.083,0.015,28,4,6624648,3389345,3235303,12011,12910,0.067,0.05,13,106,93730,102400,4570,4880,0.06783,더즌
728,2025-06-18,417860,0.176,0.299,0.078,0.299,17,6,476213,184249,113045,2768,1795,26500,0.108,0.128,-0.019,1,8,372899,218796,154103,3849,3496,0.1,0.07,2,273,93200,114730,28400,31250,0.10035,오브젠
727,2025-06-18,45014K,0.059,0.3,0.058,0.3,7,0,370540,145270,128481,1159,1150,5420,0.157,0.279,0.151,5,31,488602,260971,216773,3883,3716,0.048,0.05,41,63,95130,100230,6670,6340,-0.04948,코오롱모빌리티그룹우
726,2025-06-18,299660,0.019,0.107,-0.015,0.029,58,5,3958796,2103233,1792859,8595,19280,6060,0.023,0.026,-0.068,0,6,446566,247164,149921,1066,935,0.1,0.07,67,699,100430,153000,6010,6030,0.00333,셀리드
725,2025-06-18,298060,-0.01,0.006,-0.023,-0.009,32,15,203469,96414,46516,204,215,878,0.072,0.072,0.0,0,46,319870,189358,127575,726,860,0.072,0.05,57,699,95930,153000,918,929,0.01198,에스씨엠생명과학
724,2025-06-18,201490,0.036,0.036,-0.125,-0.101,0,540,2854502,27677,19224,25,2,3955,0.047,0.129,0.006,12,49,2605175,1520706,1084469,4571,5213,0.1,0.07,426,452,130400,131700,4280,3975,-0.07126,미투온
723,2025-06-18,199480,0.02,0.3,0.006,0.3,77,13,2391105,978848,1196703,5674,5673,6500,0.077,0.086,0.011,0,27,1111341,716277,395064,4411,4335,0.075,0.052,29,184,94530,110300,6880,7400,0.07558,뱅크웨어글로벌
722,2025-06-18,083660,-0.022,0.062,-0.043,0.041,292,14,754374,309057,434512,3134,1210,1437,0.14,0.232,0.058,3,45,2653807,1511336,1142471,3208,2813,0.1,0.07,88,184,101500,110300,1673,1841,0.10042,CSA 코스믹
721,2025-06-18,069510,0.011,0.011,-0.02,-0.017,0,165,31350,22159,8974,688,659,15750,0.069,0.238,0.057,32,3,173568,98401,72101,2314,2216,0.1,0.07,30,69,94600,100530,18380,20250,0.10174,에스텍
720,2025-06-18,065770,0.009,0.03,-0.036,-0.025,0,11,86772,49483,31181,1219,702,1041,0.008,0.2,0.006,37,0,1098001,620952,469432,2226,3911,0.1,0.07,95,658,101830,150000,1170,1088,-0.07009,CS
719,2025-06-18,053580,0.033,0.042,-0.066,-0.018,2,547,1017595,619891,355148,6752,5728,18920,0.11,0.158,0.091,30,1,2480631,1203135,1221033,14542,15926,0.061,0.05,32,699,94700,153000,21450,21400,-0.00233,웹케시
718,2025-06-18,043200,0.0,0.049,-0.078,-0.063,61,559,5661754,3431385,2150635,10232,9971,1537,0.06,0.165,0.05,7,3,5783523,2854192,2865737,7284,8629,0.1,0.07,72,699,100700,153000,1722,1659,-0.03659,파루
717,2025-06-18,032820,0.038,0.167,0.028,0.065,237,7,171387153,88101670,79780109,138116,163311,3600,0.016,0.079,0.011,15,0,20469139,10524978,9944161,15301,18969,0.067,0.05,108,699,102500,153000,3795,3850,0.01449,우리기술
716,2025-06-18,000440,-0.08,0.032,-0.105,-0.067,316,4,1236169,651149,561538,11367,10998,20350,0.079,0.081,0.017,0,37,108529,69515,39014,1156,847,0.063,0.05,320,699,121100,153000,21550,21250,-0.01392,중앙에너비스
715,2025-06-17,457550,0.023,0.061,0.0,0.056,651,58,893646,414676,461859,4844,5880,23400,0.024,0.034,-0.03,2,44,235788,157115,78673,1610,895,0.066,0.05,51,443,95630,131230,23650,22450,-0.05074,우진엔텍
714,2025-06-17,389030,0.0,0.055,-0.028,-0.026,358,5,391276,234188,149415,606,571,2225,0.009,0.009,-0.049,0,41,113307,73535,39772,148,97,0.061,0.05,130,699,103600,153000,2200,2270,0.03182,지니너스
